Dataset:  Cora
Experiment  31 run  1 , total time: 2.29 learning rate: 0.0025, smoothing factor: 0.0, test accuracy: 0.623
Experiment  31 run  2 , total time: 2.299 learning rate: 0.0025, smoothing factor: 0.0, test accuracy: 0.731
Experiment  31 run  3 , total time: 2.931 learning rate: 0.0025, smoothing factor: 0.0, test accuracy: 0.659
Experiment  31  summary: mean test accuracy:0.671

Experiment  32 run  1 , total time: 2.571 learning rate: 0.0025, smoothing factor: 0.1, test accuracy: 0.701
Experiment  32 run  2 , total time: 2.34 learning rate: 0.0025, smoothing factor: 0.1, test accuracy: 0.539
Experiment  32 run  3 , total time: 2.275 learning rate: 0.0025, smoothing factor: 0.1, test accuracy: 0.703
Experiment  32  summary: mean test accuracy:0.6477

Experiment  33 run  1 , total time: 2.264 learning rate: 0.0025, smoothing factor: 0.2, test accuracy: 0.691
Experiment  33 run  2 , total time: 2.301 learning rate: 0.0025, smoothing factor: 0.2, test accuracy: 0.567
Experiment  33 run  3 , total time: 2.647 learning rate: 0.0025, smoothing factor: 0.2, test accuracy: 0.633
Experiment  33  summary: mean test accuracy:0.6303

Experiment  34 run  1 , total time: 3.028 learning rate: 0.0025, smoothing factor: 0.3, test accuracy: 0.604
Experiment  34 run  2 , total time: 2.994 learning rate: 0.0025, smoothing factor: 0.3, test accuracy: 0.668
Experiment  34 run  3 , total time: 2.672 learning rate: 0.0025, smoothing factor: 0.3, test accuracy: 0.621
Experiment  34  summary: mean test accuracy:0.631

Experiment  35 run  1 , total time: 2.314 learning rate: 0.0025, smoothing factor: 0.4, test accuracy: 0.589
Experiment  35 run  2 , total time: 2.262 learning rate: 0.0025, smoothing factor: 0.4, test accuracy: 0.729
Experiment  35 run  3 , total time: 2.326 learning rate: 0.0025, smoothing factor: 0.4, test accuracy: 0.702
Experiment  35  summary: mean test accuracy:0.6733

Experiment  36 run  1 , total time: 2.345 learning rate: 0.0025, smoothing factor: 0.5, test accuracy: 0.656
Experiment  36 run  2 , total time: 2.324 learning rate: 0.0025, smoothing factor: 0.5, test accuracy: 0.711
Experiment  36 run  3 , total time: 2.337 learning rate: 0.0025, smoothing factor: 0.5, test accuracy: 0.608
Experiment  36  summary: mean test accuracy:0.6583

Experiment  37 run  1 , total time: 2.361 learning rate: 0.0025, smoothing factor: 0.6, test accuracy: 0.606
Experiment  37 run  2 , total time: 2.467 learning rate: 0.0025, smoothing factor: 0.6, test accuracy: 0.693
Experiment  37 run  3 , total time: 2.281 learning rate: 0.0025, smoothing factor: 0.6, test accuracy: 0.701
Experiment  37  summary: mean test accuracy:0.6667

Experiment  38 run  1 , total time: 2.352 learning rate: 0.0025, smoothing factor: 0.7, test accuracy: 0.741
Experiment  38 run  2 , total time: 2.32 learning rate: 0.0025, smoothing factor: 0.7, test accuracy: 0.703
Experiment  38 run  3 , total time: 2.351 learning rate: 0.0025, smoothing factor: 0.7, test accuracy: 0.688
Experiment  38  summary: mean test accuracy:0.7107

Experiment  39 run  1 , total time: 2.323 learning rate: 0.0025, smoothing factor: 0.8, test accuracy: 0.635
Experiment  39 run  2 , total time: 2.275 learning rate: 0.0025, smoothing factor: 0.8, test accuracy: 0.718
Experiment  39 run  3 , total time: 2.341 learning rate: 0.0025, smoothing factor: 0.8, test accuracy: 0.645
Experiment  39  summary: mean test accuracy:0.666

Experiment  40 run  1 , total time: 2.402 learning rate: 0.0025, smoothing factor: 0.9, test accuracy: 0.63
Experiment  40 run  2 , total time: 2.309 learning rate: 0.0025, smoothing factor: 0.9, test accuracy: 0.64
Experiment  40 run  3 , total time: 2.351 learning rate: 0.0025, smoothing factor: 0.9, test accuracy: 0.638
Experiment  40  summary: mean test accuracy:0.636

Experiment  41 run  1 , total time: 2.304 learning rate: 0.003, smoothing factor: 0.0, test accuracy: 0.635
Experiment  41 run  2 , total time: 2.285 learning rate: 0.003, smoothing factor: 0.0, test accuracy: 0.64
Experiment  41 run  3 , total time: 2.31 learning rate: 0.003, smoothing factor: 0.0, test accuracy: 0.636
Experiment  41  summary: mean test accuracy:0.637

Experiment  42 run  1 , total time: 2.31 learning rate: 0.003, smoothing factor: 0.1, test accuracy: 0.745
Experiment  42 run  2 , total time: 2.275 learning rate: 0.003, smoothing factor: 0.1, test accuracy: 0.61
Experiment  42 run  3 , total time: 2.27 learning rate: 0.003, smoothing factor: 0.1, test accuracy: 0.451
Experiment  42  summary: mean test accuracy:0.602

Experiment  43 run  1 , total time: 2.327 learning rate: 0.003, smoothing factor: 0.2, test accuracy: 0.45
Experiment  43 run  2 , total time: 2.312 learning rate: 0.003, smoothing factor: 0.2, test accuracy: 0.609
Experiment  43 run  3 , total time: 2.273 learning rate: 0.003, smoothing factor: 0.2, test accuracy: 0.631
Experiment  43  summary: mean test accuracy:0.5633

Experiment  44 run  1 , total time: 2.28 learning rate: 0.003, smoothing factor: 0.3, test accuracy: 0.657
Experiment  44 run  2 , total time: 2.337 learning rate: 0.003, smoothing factor: 0.3, test accuracy: 0.638
Experiment  44 run  3 , total time: 2.305 learning rate: 0.003, smoothing factor: 0.3, test accuracy: 0.64
Experiment  44  summary: mean test accuracy:0.645

Experiment  45 run  1 , total time: 2.301 learning rate: 0.003, smoothing factor: 0.4, test accuracy: 0.552
Experiment  45 run  2 , total time: 2.328 learning rate: 0.003, smoothing factor: 0.4, test accuracy: 0.598
Experiment  45 run  3 , total time: 2.319 learning rate: 0.003, smoothing factor: 0.4, test accuracy: 0.563
Experiment  45  summary: mean test accuracy:0.571

Experiment  46 run  1 , total time: 2.305 learning rate: 0.003, smoothing factor: 0.5, test accuracy: 0.673
Experiment  46 run  2 , total time: 2.276 learning rate: 0.003, smoothing factor: 0.5, test accuracy: 0.702
Experiment  46 run  3 , total time: 2.263 learning rate: 0.003, smoothing factor: 0.5, test accuracy: 0.698
Experiment  46  summary: mean test accuracy:0.691

Experiment  47 run  1 , total time: 2.291 learning rate: 0.003, smoothing factor: 0.6, test accuracy: 0.708
Experiment  47 run  2 , total time: 2.37 learning rate: 0.003, smoothing factor: 0.6, test accuracy: 0.733
Experiment  47 run  3 , total time: 2.305 learning rate: 0.003, smoothing factor: 0.6, test accuracy: 0.675
Experiment  47  summary: mean test accuracy:0.7053

Experiment  48 run  1 , total time: 2.285 learning rate: 0.003, smoothing factor: 0.7, test accuracy: 0.746
Experiment  48 run  2 , total time: 3.165 learning rate: 0.003, smoothing factor: 0.7, test accuracy: 0.75
Experiment  48 run  3 , total time: 2.777 learning rate: 0.003, smoothing factor: 0.7, test accuracy: 0.71
Experiment  48  summary: mean test accuracy:0.7353

Experiment  49 run  1 , total time: 2.425 learning rate: 0.003, smoothing factor: 0.8, test accuracy: 0.651
Experiment  49 run  2 , total time: 2.748 learning rate: 0.003, smoothing factor: 0.8, test accuracy: 0.686
Experiment  49 run  3 , total time: 2.299 learning rate: 0.003, smoothing factor: 0.8, test accuracy: 0.743
Experiment  49  summary: mean test accuracy:0.6933

Experiment  50 run  1 , total time: 2.72 learning rate: 0.003, smoothing factor: 0.9, test accuracy: 0.663
Experiment  50 run  2 , total time: 2.499 learning rate: 0.003, smoothing factor: 0.9, test accuracy: 0.621
Experiment  50 run  3 , total time: 2.344 learning rate: 0.003, smoothing factor: 0.9, test accuracy: 0.663
Experiment  50  summary: mean test accuracy:0.649

Experiment  51 run  1 , total time: 2.264 learning rate: 0.0035, smoothing factor: 0.0, test accuracy: 0.632
Experiment  51 run  2 , total time: 2.289 learning rate: 0.0035, smoothing factor: 0.0, test accuracy: 0.747
Experiment  51 run  3 , total time: 2.322 learning rate: 0.0035, smoothing factor: 0.0, test accuracy: 0.675
Experiment  51  summary: mean test accuracy:0.6847

Experiment  52 run  1 , total time: 2.272 learning rate: 0.0035, smoothing factor: 0.1, test accuracy: 0.611
Experiment  52 run  2 , total time: 2.316 learning rate: 0.0035, smoothing factor: 0.1, test accuracy: 0.715
Experiment  52 run  3 , total time: 2.305 learning rate: 0.0035, smoothing factor: 0.1, test accuracy: 0.584
Experiment  52  summary: mean test accuracy:0.6367

Experiment  53 run  1 , total time: 2.327 learning rate: 0.0035, smoothing factor: 0.2, test accuracy: 0.533
Experiment  53 run  2 , total time: 2.274 learning rate: 0.0035, smoothing factor: 0.2, test accuracy: 0.396
Experiment  53 run  3 , total time: 2.441 learning rate: 0.0035, smoothing factor: 0.2, test accuracy: 0.695
Experiment  53  summary: mean test accuracy:0.5413

Experiment  54 run  1 , total time: 2.249 learning rate: 0.0035, smoothing factor: 0.3, test accuracy: 0.646
Experiment  54 run  2 , total time: 2.296 learning rate: 0.0035, smoothing factor: 0.3, test accuracy: 0.571
Experiment  54 run  3 , total time: 2.261 learning rate: 0.0035, smoothing factor: 0.3, test accuracy: 0.652
Experiment  54  summary: mean test accuracy:0.623

Experiment  55 run  1 , total time: 2.266 learning rate: 0.0035, smoothing factor: 0.4, test accuracy: 0.662
Experiment  55 run  2 , total time: 2.243 learning rate: 0.0035, smoothing factor: 0.4, test accuracy: 0.68
Experiment  55 run  3 , total time: 2.298 learning rate: 0.0035, smoothing factor: 0.4, test accuracy: 0.571
Experiment  55  summary: mean test accuracy:0.6377

Experiment  56 run  1 , total time: 2.295 learning rate: 0.0035, smoothing factor: 0.5, test accuracy: 0.67
Experiment  56 run  2 , total time: 2.281 learning rate: 0.0035, smoothing factor: 0.5, test accuracy: 0.72
Experiment  56 run  3 , total time: 2.287 learning rate: 0.0035, smoothing factor: 0.5, test accuracy: 0.643
Experiment  56  summary: mean test accuracy:0.6777

Experiment  57 run  1 , total time: 2.296 learning rate: 0.0035, smoothing factor: 0.6, test accuracy: 0.754
Experiment  57 run  2 , total time: 2.381 learning rate: 0.0035, smoothing factor: 0.6, test accuracy: 0.661
Experiment  57 run  3 , total time: 2.253 learning rate: 0.0035, smoothing factor: 0.6, test accuracy: 0.679
Experiment  57  summary: mean test accuracy:0.698

Experiment  58 run  1 , total time: 2.31 learning rate: 0.0035, smoothing factor: 0.7, test accuracy: 0.726
Experiment  58 run  2 , total time: 2.238 learning rate: 0.0035, smoothing factor: 0.7, test accuracy: 0.723
Experiment  58 run  3 , total time: 2.28 learning rate: 0.0035, smoothing factor: 0.7, test accuracy: 0.723
Experiment  58  summary: mean test accuracy:0.724

Experiment  59 run  1 , total time: 2.263 learning rate: 0.0035, smoothing factor: 0.8, test accuracy: 0.701
Experiment  59 run  2 , total time: 2.263 learning rate: 0.0035, smoothing factor: 0.8, test accuracy: 0.713
Experiment  59 run  3 , total time: 2.289 learning rate: 0.0035, smoothing factor: 0.8, test accuracy: 0.737
Experiment  59  summary: mean test accuracy:0.717

Experiment  60 run  1 , total time: 2.308 learning rate: 0.0035, smoothing factor: 0.9, test accuracy: 0.665
Experiment  60 run  2 , total time: 2.302 learning rate: 0.0035, smoothing factor: 0.9, test accuracy: 0.667
Experiment  60 run  3 , total time: 2.263 learning rate: 0.0035, smoothing factor: 0.9, test accuracy: 0.682
Experiment  60  summary: mean test accuracy:0.6713

Experiment  61 run  1 , total time: 2.292 learning rate: 0.004, smoothing factor: 0.0, test accuracy: 0.774
Experiment  61 run  2 , total time: 2.258 learning rate: 0.004, smoothing factor: 0.0, test accuracy: 0.706
Experiment  61 run  3 , total time: 2.399 learning rate: 0.004, smoothing factor: 0.0, test accuracy: 0.769
Experiment  61  summary: mean test accuracy:0.7497

Experiment  62 run  1 , total time: 2.24 learning rate: 0.004, smoothing factor: 0.1, test accuracy: 0.636
Experiment  62 run  2 , total time: 2.349 learning rate: 0.004, smoothing factor: 0.1, test accuracy: 0.635
Experiment  62 run  3 , total time: 2.275 learning rate: 0.004, smoothing factor: 0.1, test accuracy: 0.509
Experiment  62  summary: mean test accuracy:0.5933

Experiment  63 run  1 , total time: 2.743 learning rate: 0.004, smoothing factor: 0.2, test accuracy: 0.642
Experiment  63 run  2 , total time: 2.514 learning rate: 0.004, smoothing factor: 0.2, test accuracy: 0.555
Experiment  63 run  3 , total time: 2.715 learning rate: 0.004, smoothing factor: 0.2, test accuracy: 0.652
Experiment  63  summary: mean test accuracy:0.6163

Experiment  64 run  1 , total time: 2.313 learning rate: 0.004, smoothing factor: 0.3, test accuracy: 0.405
Experiment  64 run  2 , total time: 2.502 learning rate: 0.004, smoothing factor: 0.3, test accuracy: 0.659
Experiment  64 run  3 , total time: 2.536 learning rate: 0.004, smoothing factor: 0.3, test accuracy: 0.616
Experiment  64  summary: mean test accuracy:0.56

Experiment  65 run  1 , total time: 2.807 learning rate: 0.004, smoothing factor: 0.4, test accuracy: 0.757
Experiment  65 run  2 , total time: 2.317 learning rate: 0.004, smoothing factor: 0.4, test accuracy: 0.687
Experiment  65 run  3 , total time: 2.45 learning rate: 0.004, smoothing factor: 0.4, test accuracy: 0.755
Experiment  65  summary: mean test accuracy:0.733

Experiment  66 run  1 , total time: 3.099 learning rate: 0.004, smoothing factor: 0.5, test accuracy: 0.698
Experiment  66 run  2 , total time: 2.778 learning rate: 0.004, smoothing factor: 0.5, test accuracy: 0.701
Experiment  66 run  3 , total time: 2.467 learning rate: 0.004, smoothing factor: 0.5, test accuracy: 0.631
Experiment  66  summary: mean test accuracy:0.6767

Experiment  67 run  1 , total time: 2.526 learning rate: 0.004, smoothing factor: 0.6, test accuracy: 0.625
Experiment  67 run  2 , total time: 2.576 learning rate: 0.004, smoothing factor: 0.6, test accuracy: 0.671
Experiment  67 run  3 , total time: 2.585 learning rate: 0.004, smoothing factor: 0.6, test accuracy: 0.725
Experiment  67  summary: mean test accuracy:0.6737

Experiment  68 run  1 , total time: 2.251 learning rate: 0.004, smoothing factor: 0.7, test accuracy: 0.709
Experiment  68 run  2 , total time: 2.333 learning rate: 0.004, smoothing factor: 0.7, test accuracy: 0.688
Experiment  68 run  3 , total time: 2.262 learning rate: 0.004, smoothing factor: 0.7, test accuracy: 0.577
Experiment  68  summary: mean test accuracy:0.658

Experiment  69 run  1 , total time: 2.266 learning rate: 0.004, smoothing factor: 0.8, test accuracy: 0.727
Experiment  69 run  2 , total time: 2.267 learning rate: 0.004, smoothing factor: 0.8, test accuracy: 0.732
Experiment  69 run  3 , total time: 2.36 learning rate: 0.004, smoothing factor: 0.8, test accuracy: 0.696
Experiment  69  summary: mean test accuracy:0.7183

Experiment  70 run  1 , total time: 2.302 learning rate: 0.004, smoothing factor: 0.9, test accuracy: 0.71
Experiment  70 run  2 , total time: 2.318 learning rate: 0.004, smoothing factor: 0.9, test accuracy: 0.69
Experiment  70 run  3 , total time: 2.265 learning rate: 0.004, smoothing factor: 0.9, test accuracy: 0.606
Experiment  70  summary: mean test accuracy:0.6687

Experiment  71 run  1 , total time: 2.306 learning rate: 0.0045, smoothing factor: 0.0, test accuracy: 0.584
Experiment  71 run  2 , total time: 2.256 learning rate: 0.0045, smoothing factor: 0.0, test accuracy: 0.741
Experiment  71 run  3 , total time: 2.427 learning rate: 0.0045, smoothing factor: 0.0, test accuracy: 0.654
Experiment  71  summary: mean test accuracy:0.6597

Experiment  72 run  1 , total time: 2.277 learning rate: 0.0045, smoothing factor: 0.1, test accuracy: 0.636
Experiment  72 run  2 , total time: 2.295 learning rate: 0.0045, smoothing factor: 0.1, test accuracy: 0.607
Experiment  72 run  3 , total time: 2.326 learning rate: 0.0045, smoothing factor: 0.1, test accuracy: 0.627
Experiment  72  summary: mean test accuracy:0.6233

Experiment  73 run  1 , total time: 2.264 learning rate: 0.0045, smoothing factor: 0.2, test accuracy: 0.534
Experiment  73 run  2 , total time: 2.268 learning rate: 0.0045, smoothing factor: 0.2, test accuracy: 0.608
Experiment  73 run  3 , total time: 2.287 learning rate: 0.0045, smoothing factor: 0.2, test accuracy: 0.527
Experiment  73  summary: mean test accuracy:0.5563

Experiment  74 run  1 , total time: 2.364 learning rate: 0.0045, smoothing factor: 0.3, test accuracy: 0.686
Experiment  74 run  2 , total time: 2.252 learning rate: 0.0045, smoothing factor: 0.3, test accuracy: 0.706
Experiment  74 run  3 , total time: 2.29 learning rate: 0.0045, smoothing factor: 0.3, test accuracy: 0.516
Experiment  74  summary: mean test accuracy:0.636

Experiment  75 run  1 , total time: 2.253 learning rate: 0.0045, smoothing factor: 0.4, test accuracy: 0.67
Experiment  75 run  2 , total time: 2.286 learning rate: 0.0045, smoothing factor: 0.4, test accuracy: 0.634
Experiment  75 run  3 , total time: 2.843 learning rate: 0.0045, smoothing factor: 0.4, test accuracy: 0.751
Experiment  75  summary: mean test accuracy:0.685

Experiment  76 run  1 , total time: 2.658 learning rate: 0.0045, smoothing factor: 0.5, test accuracy: 0.686
Experiment  76 run  2 , total time: 2.271 learning rate: 0.0045, smoothing factor: 0.5, test accuracy: 0.678
Experiment  76 run  3 , total time: 2.299 learning rate: 0.0045, smoothing factor: 0.5, test accuracy: 0.647
