2023-06-16 18:15:21,366: Experiment begins, dataset: Cora
2023-06-16 18:15:29,588: Parameter set 0001: hidden_dim = 08, lr=0.0050, smooth_fac=0.5000, weight_decay = 0.0001, mean test accuracy: 0.7087
2023-06-16 18:19:10,827: Parameter set 0028: hidden_dim = 08, lr=0.0050, smooth_fac=0.8000, weight_decay = 0.0001, mean test accuracy: 0.7193
2023-06-16 18:19:19,805: Parameter set 0029: hidden_dim = 08, lr=0.0050, smooth_fac=0.8000, weight_decay = 0.0003, mean test accuracy: 0.7433
2023-06-16 18:19:27,806: Parameter set 0030: hidden_dim = 08, lr=0.0050, smooth_fac=0.8000, weight_decay = 0.0005, mean test accuracy: 0.7353
2023-06-16 18:19:35,623: Parameter set 0031: hidden_dim = 16, lr=0.0050, smooth_fac=0.8000, weight_decay = 0.0001, mean test accuracy: 0.7487
2023-06-16 18:19:43,594: Parameter set 0032: hidden_dim = 16, lr=0.0050, smooth_fac=0.8000, weight_decay = 0.0003, mean test accuracy: 0.7377
2023-06-16 18:19:51,551: Parameter set 0033: hidden_dim = 16, lr=0.0050, smooth_fac=0.8000, weight_decay = 0.0005, mean test accuracy: 0.7287
2023-06-16 18:19:59,375: Parameter set 0034: hidden_dim = 32, lr=0.0050, smooth_fac=0.8000, weight_decay = 0.0001, mean test accuracy: 0.7213
2023-06-16 18:20:07,135: Parameter set 0035: hidden_dim = 32, lr=0.0050, smooth_fac=0.8000, weight_decay = 0.0003, mean test accuracy: 0.7437
2023-06-16 18:20:14,772: Parameter set 0036: hidden_dim = 32, lr=0.0050, smooth_fac=0.8000, weight_decay = 0.0005, mean test accuracy: 0.722
2023-06-16 18:20:22,665: Parameter set 0037: hidden_dim = 08, lr=0.0050, smooth_fac=0.9000, weight_decay = 0.0001, mean test accuracy: 0.6813
2023-06-16 18:20:30,725: Parameter set 0038: hidden_dim = 08, lr=0.0050, smooth_fac=0.9000, weight_decay = 0.0003, mean test accuracy: 0.6973
2023-06-16 18:20:38,579: Parameter set 0039: hidden_dim = 08, lr=0.0050, smooth_fac=0.9000, weight_decay = 0.0005, mean test accuracy: 0.6887
2023-06-16 18:20:46,382: Parameter set 0040: hidden_dim = 16, lr=0.0050, smooth_fac=0.9000, weight_decay = 0.0001, mean test accuracy: 0.6907
2023-06-16 18:20:54,204: Parameter set 0041: hidden_dim = 16, lr=0.0050, smooth_fac=0.9000, weight_decay = 0.0003, mean test accuracy: 0.7103
2023-06-16 18:21:02,121: Parameter set 0042: hidden_dim = 16, lr=0.0050, smooth_fac=0.9000, weight_decay = 0.0005, mean test accuracy: 0.6903
2023-06-16 18:21:09,826: Parameter set 0043: hidden_dim = 32, lr=0.0050, smooth_fac=0.9000, weight_decay = 0.0001, mean test accuracy: 0.68
2023-06-16 18:21:18,524: Parameter set 0044: hidden_dim = 32, lr=0.0050, smooth_fac=0.9000, weight_decay = 0.0003, mean test accuracy: 0.7057
2023-06-16 18:21:27,493: Parameter set 0045: hidden_dim = 32, lr=0.0050, smooth_fac=0.9000, weight_decay = 0.0005, mean test accuracy: 0.695
2023-06-16 18:21:36,349: Parameter set 0046: hidden_dim = 08, lr=0.0055, smooth_fac=0.5000, weight_decay = 0.0001, mean test accuracy: 0.7003
2023-06-16 18:21:44,036: Parameter set 0047: hidden_dim = 08, lr=0.0055, smooth_fac=0.5000, weight_decay = 0.0003, mean test accuracy: 0.6993
2023-06-16 18:21:52,045: Parameter set 0048: hidden_dim = 08, lr=0.0055, smooth_fac=0.5000, weight_decay = 0.0005, mean test accuracy: 0.704
2023-06-16 18:22:00,347: Parameter set 0049: hidden_dim = 16, lr=0.0055, smooth_fac=0.5000, weight_decay = 0.0001, mean test accuracy: 0.707
2023-06-16 18:22:09,569: Parameter set 0050: hidden_dim = 16, lr=0.0055, smooth_fac=0.5000, weight_decay = 0.0003, mean test accuracy: 0.722
2023-06-16 18:22:17,870: Parameter set 0051: hidden_dim = 16, lr=0.0055, smooth_fac=0.5000, weight_decay = 0.0005, mean test accuracy: 0.7047
2023-06-16 18:22:25,659: Parameter set 0052: hidden_dim = 32, lr=0.0055, smooth_fac=0.5000, weight_decay = 0.0001, mean test accuracy: 0.6947
2023-06-16 18:22:33,388: Parameter set 0053: hidden_dim = 32, lr=0.0055, smooth_fac=0.5000, weight_decay = 0.0003, mean test accuracy: 0.7213
2023-06-16 18:22:41,084: Parameter set 0054: hidden_dim = 32, lr=0.0055, smooth_fac=0.5000, weight_decay = 0.0005, mean test accuracy: 0.7113
2023-06-16 18:22:48,896: Parameter set 0055: hidden_dim = 08, lr=0.0055, smooth_fac=0.6000, weight_decay = 0.0001, mean test accuracy: 0.7173
2023-06-16 18:22:56,629: Parameter set 0056: hidden_dim = 08, lr=0.0055, smooth_fac=0.6000, weight_decay = 0.0003, mean test accuracy: 0.6963
2023-06-16 18:23:04,403: Parameter set 0057: hidden_dim = 08, lr=0.0055, smooth_fac=0.6000, weight_decay = 0.0005, mean test accuracy: 0.6927
2023-06-16 18:23:12,233: Parameter set 0058: hidden_dim = 16, lr=0.0055, smooth_fac=0.6000, weight_decay = 0.0001, mean test accuracy: 0.7473
2023-06-16 18:23:20,224: Parameter set 0059: hidden_dim = 16, lr=0.0055, smooth_fac=0.6000, weight_decay = 0.0003, mean test accuracy: 0.726
2023-06-16 18:23:28,216: Parameter set 0060: hidden_dim = 16, lr=0.0055, smooth_fac=0.6000, weight_decay = 0.0005, mean test accuracy: 0.7377
2023-06-16 18:23:37,205: Parameter set 0061: hidden_dim = 32, lr=0.0055, smooth_fac=0.6000, weight_decay = 0.0001, mean test accuracy: 0.7263
2023-06-16 18:23:45,704: Parameter set 0062: hidden_dim = 32, lr=0.0055, smooth_fac=0.6000, weight_decay = 0.0003, mean test accuracy: 0.754
2023-06-16 18:23:53,892: Parameter set 0063: hidden_dim = 32, lr=0.0055, smooth_fac=0.6000, weight_decay = 0.0005, mean test accuracy: 0.7123
2023-06-16 18:24:01,767: Parameter set 0064: hidden_dim = 08, lr=0.0055, smooth_fac=0.7000, weight_decay = 0.0001, mean test accuracy: 0.7563
2023-06-16 18:24:09,577: Parameter set 0065: hidden_dim = 08, lr=0.0055, smooth_fac=0.7000, weight_decay = 0.0003, mean test accuracy: 0.7503
2023-06-16 18:24:17,323: Parameter set 0066: hidden_dim = 08, lr=0.0055, smooth_fac=0.7000, weight_decay = 0.0005, mean test accuracy: 0.7277
2023-06-16 18:24:25,073: Parameter set 0067: hidden_dim = 16, lr=0.0055, smooth_fac=0.7000, weight_decay = 0.0001, mean test accuracy: 0.7157
2023-06-16 18:24:32,783: Parameter set 0068: hidden_dim = 16, lr=0.0055, smooth_fac=0.7000, weight_decay = 0.0003, mean test accuracy: 0.7497
2023-06-16 18:24:40,495: Parameter set 0069: hidden_dim = 16, lr=0.0055, smooth_fac=0.7000, weight_decay = 0.0005, mean test accuracy: 0.749
2023-06-16 18:24:48,208: Parameter set 0070: hidden_dim = 32, lr=0.0055, smooth_fac=0.7000, weight_decay = 0.0001, mean test accuracy: 0.735
2023-06-16 18:24:56,294: Parameter set 0071: hidden_dim = 32, lr=0.0055, smooth_fac=0.7000, weight_decay = 0.0003, mean test accuracy: 0.7283
2023-06-16 18:25:04,287: Parameter set 0072: hidden_dim = 32, lr=0.0055, smooth_fac=0.7000, weight_decay = 0.0005, mean test accuracy: 0.751
2023-06-16 18:25:12,186: Parameter set 0073: hidden_dim = 08, lr=0.0055, smooth_fac=0.8000, weight_decay = 0.0001, mean test accuracy: 0.7377
2023-06-16 18:25:20,449: Parameter set 0074: hidden_dim = 08, lr=0.0055, smooth_fac=0.8000, weight_decay = 0.0003, mean test accuracy: 0.7433
2023-06-16 18:25:28,432: Parameter set 0075: hidden_dim = 08, lr=0.0055, smooth_fac=0.8000, weight_decay = 0.0005, mean test accuracy: 0.6983
2023-06-16 18:25:36,362: Parameter set 0076: hidden_dim = 16, lr=0.0055, smooth_fac=0.8000, weight_decay = 0.0001, mean test accuracy: 0.7013
2023-06-16 18:25:44,237: Parameter set 0077: hidden_dim = 16, lr=0.0055, smooth_fac=0.8000, weight_decay = 0.0003, mean test accuracy: 0.7473
2023-06-16 18:25:53,576: Parameter set 0078: hidden_dim = 16, lr=0.0055, smooth_fac=0.8000, weight_decay = 0.0005, mean test accuracy: 0.7613
2023-06-16 18:26:03,111: Parameter set 0079: hidden_dim = 32, lr=0.0055, smooth_fac=0.8000, weight_decay = 0.0001, mean test accuracy: 0.7423
2023-06-16 18:26:11,174: Parameter set 0080: hidden_dim = 32, lr=0.0055, smooth_fac=0.8000, weight_decay = 0.0003, mean test accuracy: 0.7167
2023-06-16 18:26:19,081: Parameter set 0081: hidden_dim = 32, lr=0.0055, smooth_fac=0.8000, weight_decay = 0.0005, mean test accuracy: 0.739
2023-06-16 18:26:27,280: Parameter set 0082: hidden_dim = 08, lr=0.0055, smooth_fac=0.9000, weight_decay = 0.0001, mean test accuracy: 0.6903
2023-06-16 18:26:35,328: Parameter set 0083: hidden_dim = 08, lr=0.0055, smooth_fac=0.9000, weight_decay = 0.0003, mean test accuracy: 0.698
2023-06-16 18:26:43,250: Parameter set 0084: hidden_dim = 08, lr=0.0055, smooth_fac=0.9000, weight_decay = 0.0005, mean test accuracy: 0.7167
2023-06-16 18:26:51,179: Parameter set 0085: hidden_dim = 16, lr=0.0055, smooth_fac=0.9000, weight_decay = 0.0001, mean test accuracy: 0.7093
2023-06-16 18:26:59,446: Parameter set 0086: hidden_dim = 16, lr=0.0055, smooth_fac=0.9000, weight_decay = 0.0003, mean test accuracy: 0.6933
2023-06-16 18:27:07,219: Parameter set 0087: hidden_dim = 16, lr=0.0055, smooth_fac=0.9000, weight_decay = 0.0005, mean test accuracy: 0.6977
2023-06-16 18:27:15,687: Parameter set 0088: hidden_dim = 32, lr=0.0055, smooth_fac=0.9000, weight_decay = 0.0001, mean test accuracy: 0.6993
2023-06-16 18:27:23,640: Parameter set 0089: hidden_dim = 32, lr=0.0055, smooth_fac=0.9000, weight_decay = 0.0003, mean test accuracy: 0.7033
2023-06-16 18:27:31,559: Parameter set 0090: hidden_dim = 32, lr=0.0055, smooth_fac=0.9000, weight_decay = 0.0005, mean test accuracy: 0.6933
2023-06-16 18:27:39,746: Parameter set 0091: hidden_dim = 08, lr=0.0060, smooth_fac=0.5000, weight_decay = 0.0001, mean test accuracy: 0.702
2023-06-16 18:27:49,556: Parameter set 0092: hidden_dim = 08, lr=0.0060, smooth_fac=0.5000, weight_decay = 0.0003, mean test accuracy: 0.7197
2023-06-16 18:27:58,200: Parameter set 0093: hidden_dim = 08, lr=0.0060, smooth_fac=0.5000, weight_decay = 0.0005, mean test accuracy: 0.7047
2023-06-16 18:28:06,553: Parameter set 0094: hidden_dim = 16, lr=0.0060, smooth_fac=0.5000, weight_decay = 0.0001, mean test accuracy: 0.6843
2023-06-16 18:28:15,313: Parameter set 0095: hidden_dim = 16, lr=0.0060, smooth_fac=0.5000, weight_decay = 0.0003, mean test accuracy: 0.686
2023-06-16 18:28:24,061: Parameter set 0096: hidden_dim = 16, lr=0.0060, smooth_fac=0.5000, weight_decay = 0.0005, mean test accuracy: 0.675
2023-06-16 18:28:31,759: Parameter set 0097: hidden_dim = 32, lr=0.0060, smooth_fac=0.5000, weight_decay = 0.0001, mean test accuracy: 0.6823
2023-06-16 18:28:39,629: Parameter set 0098: hidden_dim = 32, lr=0.0060, smooth_fac=0.5000, weight_decay = 0.0003, mean test accuracy: 0.7013
2023-06-16 18:28:47,496: Parameter set 0099: hidden_dim = 32, lr=0.0060, smooth_fac=0.5000, weight_decay = 0.0005, mean test accuracy: 0.7093
2023-06-16 18:28:55,335: Parameter set 0100: hidden_dim = 08, lr=0.0060, smooth_fac=0.6000, weight_decay = 0.0001, mean test accuracy: 0.737
2023-06-16 18:29:03,116: Parameter set 0101: hidden_dim = 08, lr=0.0060, smooth_fac=0.6000, weight_decay = 0.0003, mean test accuracy: 0.7323
2023-06-16 18:29:11,028: Parameter set 0102: hidden_dim = 08, lr=0.0060, smooth_fac=0.6000, weight_decay = 0.0005, mean test accuracy: 0.719
2023-06-16 18:29:19,001: Parameter set 0103: hidden_dim = 16, lr=0.0060, smooth_fac=0.6000, weight_decay = 0.0001, mean test accuracy: 0.7473
2023-06-16 18:29:26,694: Parameter set 0104: hidden_dim = 16, lr=0.0060, smooth_fac=0.6000, weight_decay = 0.0003, mean test accuracy: 0.7367
2023-06-16 18:29:34,393: Parameter set 0105: hidden_dim = 16, lr=0.0060, smooth_fac=0.6000, weight_decay = 0.0005, mean test accuracy: 0.7223
2023-06-16 18:29:42,183: Parameter set 0106: hidden_dim = 32, lr=0.0060, smooth_fac=0.6000, weight_decay = 0.0001, mean test accuracy: 0.725
2023-06-16 18:29:50,774: Parameter set 0107: hidden_dim = 32, lr=0.0060, smooth_fac=0.6000, weight_decay = 0.0003, mean test accuracy: 0.7037
2023-06-16 18:29:59,058: Parameter set 0108: hidden_dim = 32, lr=0.0060, smooth_fac=0.6000, weight_decay = 0.0005, mean test accuracy: 0.7467
2023-06-16 18:30:07,437: Parameter set 0109: hidden_dim = 08, lr=0.0060, smooth_fac=0.7000, weight_decay = 0.0001, mean test accuracy: 0.7447
2023-06-16 18:30:15,181: Parameter set 0110: hidden_dim = 08, lr=0.0060, smooth_fac=0.7000, weight_decay = 0.0003, mean test accuracy: 0.7207
2023-06-16 18:30:23,108: Parameter set 0111: hidden_dim = 08, lr=0.0060, smooth_fac=0.7000, weight_decay = 0.0005, mean test accuracy: 0.7357
2023-06-16 18:30:30,899: Parameter set 0112: hidden_dim = 16, lr=0.0060, smooth_fac=0.7000, weight_decay = 0.0001, mean test accuracy: 0.7313
2023-06-16 18:30:39,440: Parameter set 0113: hidden_dim = 16, lr=0.0060, smooth_fac=0.7000, weight_decay = 0.0003, mean test accuracy: 0.7417
2023-06-16 18:30:47,889: Parameter set 0114: hidden_dim = 16, lr=0.0060, smooth_fac=0.7000, weight_decay = 0.0005, mean test accuracy: 0.7507
2023-06-16 18:30:55,797: Parameter set 0115: hidden_dim = 32, lr=0.0060, smooth_fac=0.7000, weight_decay = 0.0001, mean test accuracy: 0.722
2023-06-16 18:31:03,560: Parameter set 0116: hidden_dim = 32, lr=0.0060, smooth_fac=0.7000, weight_decay = 0.0003, mean test accuracy: 0.7413
2023-06-16 18:31:11,531: Parameter set 0117: hidden_dim = 32, lr=0.0060, smooth_fac=0.7000, weight_decay = 0.0005, mean test accuracy: 0.7607
2023-06-16 18:31:19,281: Parameter set 0118: hidden_dim = 08, lr=0.0060, smooth_fac=0.8000, weight_decay = 0.0001, mean test accuracy: 0.7513
2023-06-16 18:31:27,192: Parameter set 0119: hidden_dim = 08, lr=0.0060, smooth_fac=0.8000, weight_decay = 0.0003, mean test accuracy: 0.7263
2023-06-16 18:31:35,052: Parameter set 0120: hidden_dim = 08, lr=0.0060, smooth_fac=0.8000, weight_decay = 0.0005, mean test accuracy: 0.7523
2023-06-16 18:31:42,888: Parameter set 0121: hidden_dim = 16, lr=0.0060, smooth_fac=0.8000, weight_decay = 0.0001, mean test accuracy: 0.7287
2023-06-16 18:31:51,210: Parameter set 0122: hidden_dim = 16, lr=0.0060, smooth_fac=0.8000, weight_decay = 0.0003, mean test accuracy: 0.743
2023-06-16 18:31:59,332: Parameter set 0123: hidden_dim = 16, lr=0.0060, smooth_fac=0.8000, weight_decay = 0.0005, mean test accuracy: 0.7313
2023-06-16 18:32:07,041: Parameter set 0124: hidden_dim = 32, lr=0.0060, smooth_fac=0.8000, weight_decay = 0.0001, mean test accuracy: 0.7483
2023-06-16 18:32:14,618: Parameter set 0125: hidden_dim = 32, lr=0.0060, smooth_fac=0.8000, weight_decay = 0.0003, mean test accuracy: 0.725
2023-06-16 18:32:22,524: Parameter set 0126: hidden_dim = 32, lr=0.0060, smooth_fac=0.8000, weight_decay = 0.0005, mean test accuracy: 0.7313
2023-06-16 18:32:30,269: Parameter set 0127: hidden_dim = 08, lr=0.0060, smooth_fac=0.9000, weight_decay = 0.0001, mean test accuracy: 0.7147
2023-06-16 18:32:38,003: Parameter set 0128: hidden_dim = 08, lr=0.0060, smooth_fac=0.9000, weight_decay = 0.0003, mean test accuracy: 0.6963
2023-06-16 18:32:45,528: Parameter set 0129: hidden_dim = 08, lr=0.0060, smooth_fac=0.9000, weight_decay = 0.0005, mean test accuracy: 0.7157
2023-06-16 18:32:53,276: Parameter set 0130: hidden_dim = 16, lr=0.0060, smooth_fac=0.9000, weight_decay = 0.0001, mean test accuracy: 0.7223
2023-06-16 18:33:00,791: Parameter set 0131: hidden_dim = 16, lr=0.0060, smooth_fac=0.9000, weight_decay = 0.0003, mean test accuracy: 0.7217
2023-06-16 18:33:08,409: Parameter set 0132: hidden_dim = 16, lr=0.0060, smooth_fac=0.9000, weight_decay = 0.0005, mean test accuracy: 0.6713
2023-06-16 18:33:15,987: Parameter set 0133: hidden_dim = 32, lr=0.0060, smooth_fac=0.9000, weight_decay = 0.0001, mean test accuracy: 0.724
2023-06-16 18:33:23,883: Parameter set 0134: hidden_dim = 32, lr=0.0060, smooth_fac=0.9000, weight_decay = 0.0003, mean test accuracy: 0.71
2023-06-16 18:33:31,390: Parameter set 0135: hidden_dim = 32, lr=0.0060, smooth_fac=0.9000, weight_decay = 0.0005, mean test accuracy: 0.7
2023-06-16 18:33:39,162: Parameter set 0136: hidden_dim = 08, lr=0.0065, smooth_fac=0.5000, weight_decay = 0.0001, mean test accuracy: 0.6843
2023-06-16 18:33:46,765: Parameter set 0137: hidden_dim = 08, lr=0.0065, smooth_fac=0.5000, weight_decay = 0.0003, mean test accuracy: 0.734
2023-06-16 18:33:55,846: Parameter set 0138: hidden_dim = 08, lr=0.0065, smooth_fac=0.5000, weight_decay = 0.0005, mean test accuracy: 0.7067
2023-06-16 18:34:04,954: Parameter set 0139: hidden_dim = 16, lr=0.0065, smooth_fac=0.5000, weight_decay = 0.0001, mean test accuracy: 0.6863
2023-06-16 18:34:14,057: Parameter set 0140: hidden_dim = 16, lr=0.0065, smooth_fac=0.5000, weight_decay = 0.0003, mean test accuracy: 0.706
2023-06-16 18:34:21,959: Parameter set 0141: hidden_dim = 16, lr=0.0065, smooth_fac=0.5000, weight_decay = 0.0005, mean test accuracy: 0.7373
2023-06-16 18:34:30,710: Parameter set 0142: hidden_dim = 32, lr=0.0065, smooth_fac=0.5000, weight_decay = 0.0001, mean test accuracy: 0.73
2023-06-16 18:34:39,227: Parameter set 0143: hidden_dim = 32, lr=0.0065, smooth_fac=0.5000, weight_decay = 0.0003, mean test accuracy: 0.7487
2023-06-16 18:34:48,083: Parameter set 0144: hidden_dim = 32, lr=0.0065, smooth_fac=0.5000, weight_decay = 0.0005, mean test accuracy: 0.7023
2023-06-16 18:34:55,911: Parameter set 0145: hidden_dim = 08, lr=0.0065, smooth_fac=0.6000, weight_decay = 0.0001, mean test accuracy: 0.739
2023-06-16 18:35:03,311: Parameter set 0146: hidden_dim = 08, lr=0.0065, smooth_fac=0.6000, weight_decay = 0.0003, mean test accuracy: 0.7423
2023-06-16 18:35:10,561: Parameter set 0147: hidden_dim = 08, lr=0.0065, smooth_fac=0.6000, weight_decay = 0.0005, mean test accuracy: 0.7293
2023-06-16 18:35:18,140: Parameter set 0148: hidden_dim = 16, lr=0.0065, smooth_fac=0.6000, weight_decay = 0.0001, mean test accuracy: 0.7307
2023-06-16 18:35:25,653: Parameter set 0149: hidden_dim = 16, lr=0.0065, smooth_fac=0.6000, weight_decay = 0.0003, mean test accuracy: 0.7387
2023-06-16 18:35:33,282: Parameter set 0150: hidden_dim = 16, lr=0.0065, smooth_fac=0.6000, weight_decay = 0.0005, mean test accuracy: 0.732
2023-06-16 18:35:40,664: Parameter set 0151: hidden_dim = 32, lr=0.0065, smooth_fac=0.6000, weight_decay = 0.0001, mean test accuracy: 0.7403
2023-06-16 18:35:48,155: Parameter set 0152: hidden_dim = 32, lr=0.0065, smooth_fac=0.6000, weight_decay = 0.0003, mean test accuracy: 0.729
2023-06-16 18:35:55,563: Parameter set 0153: hidden_dim = 32, lr=0.0065, smooth_fac=0.6000, weight_decay = 0.0005, mean test accuracy: 0.7423
2023-06-16 18:36:04,184: Parameter set 0154: hidden_dim = 08, lr=0.0065, smooth_fac=0.7000, weight_decay = 0.0001, mean test accuracy: 0.7097
2023-06-16 18:36:12,805: Parameter set 0155: hidden_dim = 08, lr=0.0065, smooth_fac=0.7000, weight_decay = 0.0003, mean test accuracy: 0.724
2023-06-16 18:36:21,439: Parameter set 0156: hidden_dim = 08, lr=0.0065, smooth_fac=0.7000, weight_decay = 0.0005, mean test accuracy: 0.7533
2023-06-16 18:36:29,591: Parameter set 0157: hidden_dim = 16, lr=0.0065, smooth_fac=0.7000, weight_decay = 0.0001, mean test accuracy: 0.7497
2023-06-16 18:36:37,345: Parameter set 0158: hidden_dim = 16, lr=0.0065, smooth_fac=0.7000, weight_decay = 0.0003, mean test accuracy: 0.7443
2023-06-16 18:36:44,988: Parameter set 0159: hidden_dim = 16, lr=0.0065, smooth_fac=0.7000, weight_decay = 0.0005, mean test accuracy: 0.7307
2023-06-16 18:36:52,597: Parameter set 0160: hidden_dim = 32, lr=0.0065, smooth_fac=0.7000, weight_decay = 0.0001, mean test accuracy: 0.7423
2023-06-16 18:36:59,987: Parameter set 0161: hidden_dim = 32, lr=0.0065, smooth_fac=0.7000, weight_decay = 0.0003, mean test accuracy: 0.7427
2023-06-16 18:37:07,467: Parameter set 0162: hidden_dim = 32, lr=0.0065, smooth_fac=0.7000, weight_decay = 0.0005, mean test accuracy: 0.7413
2023-06-16 18:37:14,865: Parameter set 0163: hidden_dim = 08, lr=0.0065, smooth_fac=0.8000, weight_decay = 0.0001, mean test accuracy: 0.725
2023-06-16 18:37:22,400: Parameter set 0164: hidden_dim = 08, lr=0.0065, smooth_fac=0.8000, weight_decay = 0.0003, mean test accuracy: 0.7493
2023-06-16 18:37:29,878: Parameter set 0165: hidden_dim = 08, lr=0.0065, smooth_fac=0.8000, weight_decay = 0.0005, mean test accuracy: 0.7247
2023-06-16 18:37:37,358: Parameter set 0166: hidden_dim = 16, lr=0.0065, smooth_fac=0.8000, weight_decay = 0.0001, mean test accuracy: 0.729
2023-06-16 18:37:44,894: Parameter set 0167: hidden_dim = 16, lr=0.0065, smooth_fac=0.8000, weight_decay = 0.0003, mean test accuracy: 0.7417
2023-06-16 18:37:52,769: Parameter set 0168: hidden_dim = 16, lr=0.0065, smooth_fac=0.8000, weight_decay = 0.0005, mean test accuracy: 0.7327
2023-06-16 18:38:00,117: Parameter set 0169: hidden_dim = 32, lr=0.0065, smooth_fac=0.8000, weight_decay = 0.0001, mean test accuracy: 0.7307
2023-06-16 18:38:07,676: Parameter set 0170: hidden_dim = 32, lr=0.0065, smooth_fac=0.8000, weight_decay = 0.0003, mean test accuracy: 0.741
2023-06-16 18:38:16,479: Parameter set 0171: hidden_dim = 32, lr=0.0065, smooth_fac=0.8000, weight_decay = 0.0005, mean test accuracy: 0.7383
2023-06-16 18:38:26,253: Parameter set 0172: hidden_dim = 08, lr=0.0065, smooth_fac=0.9000, weight_decay = 0.0001, mean test accuracy: 0.6937
2023-06-16 18:38:34,218: Parameter set 0173: hidden_dim = 08, lr=0.0065, smooth_fac=0.9000, weight_decay = 0.0003, mean test accuracy: 0.725
